Feature_ID,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,number_of_papers_1970,number_of_citing_papers_1970,number_of_self_citations_1970,total_number_of_citations_1970,total_number_of_refereed_citations_1970,number_of_papers_1971_1980,number_of_citing_papers_1971_1980,number_of_self_citations_1971_1980,total_number_of_citations_1971_1980,total_number_of_refereed_citations_1971_1980,number_of_papers_1981_1990,number_of_citing papers_1981_1990,number_of_self_citations_1981_1990,total_number_of_citations_1981_1990,total_number_of_refereed_citations_1981_1990,number_of_papers_1991_2000,number_of_citing_papers_1991_2000,number_of_self_citations_1991_2000,total_number_of_citations_1991_2000,total_number_of_refereed_citations_1991_2000,number_of_papers_2001_2010,number_of_citing papers_2001_2010,number_of_self_citations_2001_2010,total_number_of_citations_2001_2010,total_number_of_refereed_citations_2001_2010,number_of_papers_2011_2015,number_of_citing papers_2011_2015,number_of_self_citations_2011_2015,total_number_of_citations_2011_2015,total_number_of_refereed_citations_2011_2015,number_of_papers_2016_2017,number_of_citing papers_2016_2017,number_of_self_citations_2016_2017,total_number_of_citations_2016_2017,total_number_of_refereed_citations_2016_2017,number_of_papers,number_of_citing papers,number_of_self-citations,total_number_of_citations,total_number_of_refereed citations,landing_site
4,Abalos Colles,Mars,235.83,76.83,-71.65,78.78,74.81,-66.61,-75.46,Europe,Roman,"Collis, colles",CO,mc01,Approved,2003,57.0,"Named for classical albedo feature at 72N, 70W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,138,1,138,120,0,0,0,0,0,2,6,0,6,3,4,144,1,144,123,0
14147,Abalos Mensa,Mars,129.18,81.17,-75.6,82.4,80.21,-69.48,-80.66,Europe,Roman,"Mensa, mensae",MN,mc01,Approved,2006,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,173,1,173,149,5,28,3,32,23,0,0,0,0,0,11,210,10,216,179,0
14148,Abalos Scopuli,Mars,109.16,80.72,-76.56,81.96,80.2,-69.48,-80.53,Europe,Roman,"Scopulus, scopuli",SC,mc01,Approved,2006,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,9,7,1,2,0,2,1,3,10,0,11,8,0
5,Abalos Undae,Mars,442.74,78.52,-87.5,82.2,74.94,-76.97,-98.6,Europe,Roman,"Unda, undae",UN,mc01,Approved,1988,57.0,"Classical albedo feature at 72N, 70W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,0,43,33,2,4,0,4,4,2,2,0,2,1,6,49,1,49,38,0
6,Aban,Mars,4.28,15.91,111.1,15.94,15.87,111.14,111.06,Europe,Russia,"Crater, craters",AA,mc14,Approved,1988,36.0,Town in Russia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,3,0
25,Abus Vallis,Mars,60.99,-5.49,-147.2,-5.02,-5.99,-147.16,-147.28,Europe,Great Britain,"Vallis, valles",VA,mc16,Approved,1985,56.0,Classical name for Humber River in England.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,8,0,8,6,0
31,Achar,Mars,5.36,45.43,123.16,45.48,45.39,123.23,123.1,South and Central America,Uruguay,"Crater, craters",AA,mc07,Approved,1979,36.0,Town in Uruguay.,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,0
34,Acheron Catena,Mars,421.77,37.47,-100.8,40.7,33.51,-98.29,-103.29,Europe,Greek,"Catena, catenae",CA,mc03,Approved,1979,57.0,"Named for classical albedo feature at 35N, 140W.",0,0,0,0,0,0,0,0,0,0,3,64,1,66,44,0,0,0,0,0,1,42,0,42,38,2,11,0,11,11,1,0,0,0,0,8,115,2,119,93,0
35,Acheron Fossae,Mars,703.11,38.27,-135.02,40.03,31.47,-129.08,-143.1,Europe,Greek,"Fossa, fossae",FO,mc02,Approved,1979,57.0,"From classical albedo feature at 35N, 140W.",0,0,0,0,0,0,0,0,0,0,17,571,6,674,564,12,75,0,76,66,24,1371,38,1785,1507,7,51,0,53,47,3,2,0,2,1,63,1880,92,2590,2185,0
36,Acidalia Colles,Mars,356.3,50.34,-23.09,52.96,48.42,-19.63,-28.23,Europe,Greek,"Collis, colles",CO,mc04,Approved,2000,71.0,From classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,2,431,0,495,438,1,0,0,0,0,8,506,3,570,520,8,144,5,150,131,5,4,0,5,5,24,988,23,1220,1094,0
37,Acidalia Mensa,Mars,226.86,46.69,-25.34,48.69,45.03,-22.97,-28.19,Europe,Greek,"Mensa, mensae",MN,mc04,Approved,2000,71.0,From classical albedo feature name.,0,0,0,0,0,5,83,1,85,77,16,887,4,1142,955,15,656,18,884,747,21,1143,31,1480,1241,17,211,10,235,199,9,12,0,13,11,83,2313,272,3839,3230,0
38,Acidalia Planitia,Mars,3362.97,49.76,-20.74,68.67,14.76,15.0,-55.0,Europe,Greek,"Planitia, planitiae",PL,mc04,Approved,1973,57.0,"From classical albedo feature at 44N, 21W.",0,0,0,0,0,18,261,1,283,234,67,1760,52,2732,2288,63,1103,48,1531,1289,115,2653,190,4737,4180,50,505,52,702,626,28,79,7,87,80,341,4772,1059,10072,8697,1
14182,Ada,Mars,2.09,-3.06,-3.22,-3.04,-3.08,-3.21,-3.24,North America,United States,"Crater, craters",AA,mc19,Approved,"Sep 14, 2006",74.0,"Town in Oklahoma, USA.",1,1,0,1,1,5,207,0,209,184,29,1220,25,1590,1409,26,914,12,1089,851,9,53,0,54,49,6,65,0,65,59,2,31,0,31,31,78,2267,57,3039,2584,0
45,Adamas Labyrinthus,Mars,853.0,35.7,105.12,41.07,30.34,111.46,96.27,Europe,Greek,"Labyrinthus, labyrinthi",LB,mc06,Approved,1982,57.0,"Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.",0,0,0,0,0,0,0,0,0,0,4,63,0,66,52,0,0,0,0,0,1,20,0,20,18,0,0,0,0,0,0,0,0,0,0,5,82,0,86,70,0
46,Adams,Mars,90.22,30.91,163.1,31.68,30.15,163.99,162.22,North America,American,"Crater, craters",AA,mc07,Approved,1973,68.0,Walter S.; American astronomer (1876-1956).,2,0,0,0,0,56,1472,48,2055,1828,143,3782,264,5797,4989,122,2668,187,4297,3656,103,2594,254,4768,4214,55,566,14,670,585,15,38,2,39,34,496,8330,2174,17626,15306,1
65,Aeolis,Mars,0.0,-4.94,145.0,-4.94,-4.94,145.0,145.0,Europe,Greek,Albedo Feature,AL,mc23,Approved,1958,60.0,Floating island where winds were kept in a cave.,4,1,0,1,1,220,3601,334,6200,5406,485,4833,782,10381,8758,403,4584,331,8107,6788,628,5778,2095,17692,15581,411,1852,638,3986,3481,156,258,95,456,435,2309,12833,12505,46824,40451,1
15019,Aeolis Dorsa,Mars,459.17,-5.05,152.63,-1.03,-8.13,156.42,148.6,Europe,Greek,"Dorsum, dorsa",DO,mc23,Approved,"Jul 27, 2012",71.0,Classical albedo feature name.,0,0,0,0,0,2,31,0,31,27,10,615,3,732,626,6,101,0,102,89,15,487,6,616,523,30,229,22,302,261,13,31,6,36,30,76,1284,123,1819,1556,0
66,Aeolis Mensae,Mars,785.09,-3.25,140.63,2.07,-6.56,146.95,135.33,Europe,Greek,"Mensa, mensae",MN,mc23,Approved,1976,57.0,Classical albedo feature name.,0,0,0,0,0,6,252,2,261,208,0,0,0,0,0,33,1481,32,2007,1665,63,1805,134,2969,2515,51,369,32,487,420,21,47,6,60,50,211,3872,838,7968,6625,1
15000,Aeolis Mons,Mars,88.99,-5.08,137.85,-4.46,-5.61,138.62,137.11,Europe,Greek,"Mons, montes",MO,mc23,Approved,"May 16, 2012",71.0,Classical albedo feature name.,0,0,0,0,0,40,854,38,1118,976,132,2745,199,4916,4023,71,2088,18,2556,2113,156,3525,419,7684,6703,132,993,146,1644,1425,59,140,37,235,224,591,7325,2474,18154,15465,1
15001,Aeolis Palus,Mars,111.63,-4.47,137.42,-4.18,-5.39,138.65,136.75,Europe,Greek,"Palus, paludes",PA,mc23,Approved,"May 16, 2012",71.0,Classical albedo feature name.,4,1,0,1,1,14,419,3,468,400,37,460,29,635,511,25,400,2,430,361,30,1342,44,1876,1581,16,124,1,136,110,23,70,22,111,106,149,2305,236,3657,3070,1
14165,Aeolis Planum,Mars,852.81,-1.14,144.76,4.4,-6.68,149.98,139.08,Europe,Greek,"Planum, plana",PM,mc23,Approved,2006,71.0,Classical albedo feature name.,0,0,0,0,0,27,870,14,1078,951,118,2614,124,4260,3565,60,1111,25,1415,1121,267,4074,938,10460,9252,206,1325,330,2455,2137,71,170,31,253,235,751,7258,3753,19922,17262,1
15031,Aeolis Serpens,Mars,538.55,-1.38,149.57,2.48,-4.9,152.0,147.68,Europe,Greek,"Serpens, serpentes",SE,mc23,Approved,"Aug 27, 2012",57.0,Classical albedo feature name.,1,0,0,0,0,24,780,15,959,851,48,1604,36,2128,1740,70,2487,79,3517,2866,156,3298,356,6739,5821,64,538,43,707,587,12,19,1,21,20,375,6402,1406,14071,11885,1
68,Aeria,Mars,0.0,9.88,50.0,9.88,9.88,50.0,50.0,Europe,Greek,Albedo Feature,AL,mc13,Approved,1958,60.0,"Greek name for Egypt; ""far land of mist"".",6,16,0,16,14,7,58,4,83,80,6,10,0,10,8,4,14,0,15,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,88,6,124,114,0
69,Aesacus Dorsum,Mars,276.69,36.82,153.15,38.69,34.7,154.72,152.28,Europe,Greek,"Dorsum, dorsa",DO,mc07,Approved,1985,57.0,"From albedo feature at 45N, 205W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Aetheria,Mars,0.0,39.67,130.0,39.67,39.67,130.0,130.0,Europe,Greek,Albedo Feature,AL,mc07,Approved,1958,60.0,Upper world; land of living.,2,1,0,1,1,3,3,0,3,3,4,3,0,3,2,3,4,0,5,2,3,56,0,56,52,0,0,0,0,0,0,0,0,0,0,15,67,1,68,60,0
72,Aethiopis,Mars,0.0,9.88,130.0,9.88,9.88,130.0,130.0,Europe,Greek,Albedo Feature,AL,mc14,Approved,1958,60.0,Countries of the Ethiopians on southern edge of the Earth.,5,16,0,16,14,3,4,0,6,6,1,1,0,1,1,2,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,0,27,23,0
79,Aganippe Fossa,Mars,537.16,-8.49,-126.0,-4.06,-12.85,-124.77,-126.86,Europe,Greek,"Fossa, fossae",FO,mc17,Approved,1976,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,5,0
81,Agassiz,Mars,108.77,-69.88,-88.89,-68.97,-70.8,-86.2,-91.54,North America,American,"Crater, craters",AA,mc30,Approved,1973,68.0,Jean L.; American naturalist (1807-1873).,0,0,0,0,0,6,151,1,152,142,2,22,0,23,22,1,94,0,94,83,5,79,1,82,70,0,0,0,0,0,0,0,0,0,0,14,337,4,351,317,0
114,Airy,Mars,43.05,-5.14,0.05,-4.77,-5.5,0.42,-0.31,Europe,Great Britain,"Crater, craters",AA,mc20,Approved,1973,68.0,George B.; British astronomer (1801-1892).,25,27,0,34,31,168,4140,136,6093,5496,364,4924,250,7763,6873,334,3465,122,4760,4198,570,6744,1345,15859,14434,358,1941,322,3428,3093,142,274,56,398,377,1964,15036,5988,38336,34503,1
115,Airy 0,Mars,0.79,-5.07,0.0,-5.07,-5.08,0.01,-0.01,Europe,Great Britain,"Crater, craters",AA,mc20,Approved,2003,309.0,Small crater within crater Airy that defines zero degrees longitude on Mars.,23,24,0,31,29,140,3694,111,5288,4763,0,0,0,0,0,227,2637,96,3497,3069,489,6484,1280,15144,13847,306,1897,303,3287,2972,122,270,44,390,369,1576,14046,5047,34157,30812,1
124,Ajon,Mars,8.08,16.49,103.14,16.56,16.42,103.21,103.07,Europe,Russia,"Crater, craters",AA,mc14,Approved,1988,36.0,Town in Russia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Aki,Mars,7.87,-35.46,-60.24,-35.4,-35.53,-60.16,-60.32,Asia,Japan,"Crater, craters",AA,mc25,Approved,1979,36.0,Town in Japan.,0,0,0,0,0,0,0,0,0,0,2,206,0,206,179,0,0,0,0,0,7,143,4,162,148,3,16,0,16,15,0,0,0,0,0,12,362,7,384,342,0
139,Aktaj,Mars,5.01,20.41,-46.49,20.45,20.37,-46.44,-46.53,Europe,Russia,"Crater, craters",AA,mc10,Approved,1988,36.0,Town in Russia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14183,Alamos,Mars,6.44,23.48,-37.12,23.54,23.43,-37.07,-37.18,North America,Mexico,"Crater, craters",AA,mc11,Approved,"Sep 14, 2006",179.0,Town in Mexico.,0,0,0,0,0,5,190,0,197,148,34,587,1,634,556,26,155,0,157,132,32,552,25,671,614,27,302,39,465,388,12,42,4,60,60,136,1697,150,2184,1898,0
157,Alba Catena,Mars,144.86,35.04,-114.58,36.26,33.83,-114.56,-114.65,Europe,Latin,"Catena, catenae",CA,mc03,Approved,1985,57.0,Classical albedo name.,0,0,0,0,0,1,4,0,4,4,0,0,0,0,0,1,0,0,0,0,4,174,1,185,162,1,7,0,7,7,1,0,0,0,0,15,276,5,312,253,0
158,Alba Fossae,Mars,2072.02,49.39,-106.82,66.91,33.89,-95.92,-116.23,Europe,Latin,"Fossa, fossae",FO,mc03,Approved,1973,57.0,Classical albedo name.,0,0,0,0,0,7,189,2,209,190,56,1498,40,2133,1777,24,396,6,462,375,46,1505,87,2350,2091,14,140,2,153,133,6,5,0,5,5,153,2929,340,5312,4571,1
14306,Alba Mons,Mars,548.02,41.08,-110.71,45.63,36.53,-104.79,-116.29,Europe,Latin,"Mons, montes",MO,mc03,Approved,"Sep 19, 2007",57.0,Classical albedo feature name.,0,0,0,0,0,26,582,13,758,602,96,1966,90,3184,2641,58,1379,14,1693,1395,72,2133,126,3482,3083,20,139,2,154,130,13,10,1,11,11,285,4589,720,9282,7862,1
160,Albany,Mars,2.15,22.96,-49.02,22.98,22.94,-49.0,-49.04,North America,United States,"Crater, craters",AA,mc10,Approved,1979,36.0,American colonial town (New York).,1,2,0,2,2,0,0,0,0,0,3,20,0,20,14,0,0,0,0,0,1,25,0,25,25,0,0,0,0,0,0,0,0,0,0,5,47,1,47,41,0
159,Alba Patera,Mars,65.98,39.53,-109.18,39.94,39.14,-108.45,-109.88,Europe,Latin,"Patera, paterae",PE,mc03,Approved,1973,57.0,Classical albedo name.,0,0,0,0,0,27,657,9,821,667,137,2186,140,3698,3058,101,1952,37,2650,2183,100,2420,162,4059,3609,23,203,4,232,203,10,11,1,11,10,398,5346,1014,11471,9730,1
164,Albi,Mars,9.07,-41.47,-35.01,-41.4,-41.55,-34.9,-35.11,Europe,France,"Crater, craters",AA,mc26,Approved,1976,36.0,Town in France.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,0,128,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,0,128,91,0
165,Albor Fossae,Mars,155.0,18.09,150.78,18.6,17.74,151.95,149.43,Europe,Latin,"Fossa, fossae",FO,mc15,Approved,1985,57.0,"From albedo feature at 20N, 205W.",0,0,0,0,0,2,25,0,25,24,15,306,2,319,251,0,0,0,0,0,4,216,0,222,207,2,20,0,20,16,1,1,0,1,1,24,549,4,587,499,0
166,Albor Tholus,Mars,158.38,18.87,150.47,19.99,17.63,151.88,149.06,Europe,Latin,"Tholus, tholi",TH,mc15,Approved,1973,57.0,Classical albedo feature name.,0,0,0,0,0,4,78,0,81,65,23,369,2,420,329,6,12,0,13,12,5,251,0,255,228,2,11,0,11,10,2,1,0,1,1,42,680,6,781,645,1
178,Alexey Tolstoy,Mars,93.04,-47.44,125.34,-46.65,-48.22,126.5,124.18,Europe,Soviet,"Crater, craters",AA,mc29,Approved,1982,,Aleksey; Soviet writer (1882-1945).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Alga,Mars,18.72,-24.34,-26.68,-24.18,-24.5,-26.5,-26.85,Asia,Kazakhstan,"Crater, craters",AA,mc19,Approved,1976,36.0,Town in Kazakhstan.,1,0,0,0,0,1,120,0,120,111,5,253,1,275,250,0,0,0,0,0,6,78,0,79,68,9,47,3,52,49,2,2,0,2,1,24,478,8,528,479,0
189,Alitus,Mars,50.0,-34.91,-38.14,-34.51,-35.31,-37.84,-38.44,Europe,Lithuania,"Crater, craters",AA,mc26,Approved,1979,58.0,"(Alytus), town in Lithuania.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Allegheny Vallis,Mars,171.08,-9.01,-53.9,-8.41,-9.73,-52.79,-54.94,North America,United States,"Vallis, valles",VA,mc18,Approved,2003,74.0,"River in Pennsylvania, USA.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,0,76,67,6,84,1,86,69,0,0,0,0,0,11,143,6,162,136,0
15605,Alnif,Mars,23.99,-15.14,-31.09,-14.93,-15.33,-30.89,-31.32,Africa,Morocco,"Crater, craters",AA,mc19,Approved,"Jul 5, 2017",74.0,Town in Morocco.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,4,0,0,0,0,0,1,4,0,4,4,0
205,Alpheus Colles,Mars,633.03,-39.38,61.53,-34.4,-44.51,66.5,56.68,Europe,Greek,"Collis, colles",CO,mc28,Approved,1985,55.0,"From albedo feature at 45S, 292W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,39,28,1,1,0,1,1,4,10,4,15,15,6,44,8,55,44,0
151,Al Qahira Vallis,Mars,600.0,-18.23,162.41,-14.41,-21.79,165.36,159.61,Asia,Indonesia,"Vallis, valles",VA,mc23,Approved,1973,62.0,"Word for 'Mars' in Arabic, Indonesian, Malay.",0,0,0,0,0,2,25,0,25,24,14,620,3,666,559,8,5,0,6,5,6,192,0,200,163,4,33,1,38,32,1,1,0,1,1,35,836,12,936,784,0
218,Amazonis,Mars,0.0,0.0,-140.0,0.0,0.0,-140.0,-140.0,Europe,Greek,Albedo Feature,AL,,Approved,1958,60.0,Land of the Amazons; on the island Hesperia.,4,1,0,1,1,29,791,4,872,737,0,0,0,0,0,106,2008,48,2677,2179,145,3252,237,5700,4972,45,307,14,373,342,16,39,2,40,39,487,6340,1217,13684,11585,1
219,Amazonis Mensa,Mars,414.04,-1.98,-146.9,0.96,-4.09,-143.67,-149.74,Europe,Greek,"Mensa, mensae",MN,mc16,Approved,2003,60.0,Classical albedo feature name.,0,0,0,0,0,3,47,0,47,46,0,0,0,0,0,13,771,14,988,810,19,1090,31,1447,1208,13,112,4,120,101,5,6,0,6,5,71,2442,174,4066,3365,0
220,Amazonis Planitia,Mars,2809.04,25.75,-162.91,49.75,2.14,-140.58,-179.66,Europe,Greek,"Planitia, planitiae",PL,mc08,Approved,1973,57.0,Classical albedo feature name; home of the Amazons.,0,0,0,0,0,12,461,1,472,379,103,2263,134,3750,3106,73,1607,43,2135,1737,126,2876,201,4892,4249,34,268,10,309,280,15,36,2,37,37,364,5493,1002,11596,9789,1
221,Amazonis Sulci,Mars,250.59,-2.15,-143.71,-0.23,-4.15,-143.38,-147.25,Europe,Greek,"Sulcus, sulci",SU,mc16,Approved,1985,57.0,Albedo feature name; home of the Amazons.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,0,51,46,3,62,0,64,63,2,2,0,2,2,7,116,0,118,112,0
226,Amenthes,Mars,0.0,4.94,110.0,4.94,4.94,110.0,110.0,Africa,Egypt,Albedo Feature,AL,mc14,Approved,1958,60.0,Egyptian name for place where souls of the dead go.,12,6,0,6,4,5,185,0,194,175,48,974,30,1307,1071,30,840,15,1017,784,37,1366,73,1910,1608,18,158,11,178,159,4,5,0,5,5,154,2797,350,4617,3806,1
6960,Amenthes Cavi,Mars,1330.5,16.23,114.52,18.9,12.29,125.84,102.98,Africa,Egypt,"Cavus, cavi",CB,mc14,Approved,2006,71.0,Classical albedo feature name.,0,0,0,0,0,1,146,0,146,131,2,4,0,4,3,3,44,0,44,37,4,257,2,268,226,5,30,3,31,28,1,2,0,2,2,16,478,7,495,427,0
227,Amenthes Fossae,Mars,850.0,9.07,102.68,13.73,2.17,107.28,96.97,Africa,Egypt,"Fossa, fossae",FO,mc14,Approved,1976,57.0,Classical albedo feature name.,0,0,0,0,0,2,161,0,162,146,11,434,1,475,366,8,235,1,257,207,21,1190,37,1497,1245,12,111,7,120,105,4,5,0,5,5,58,1868,113,2516,2074,0
228,Amenthes Planum,Mars,0.0,3.4,105.92,9.2,-2.17,111.93,99.09,Africa,Egypt,"Planum, plana",PM,mc14,Approved,2006,57.0,Classical albedo feature name.,0,0,0,0,0,1,146,0,146,131,18,682,10,796,636,10,295,2,316,247,23,1200,34,1534,1284,14,140,9,152,136,1,1,0,1,1,67,2095,130,2945,2435,0
229,Amenthes Rupes,Mars,335.25,1.51,110.68,3.58,0.09,112.98,108.83,Africa,Egypt,"Rupes, rupēs",RU,mc14,Approved,1982,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,4,110,0,110,92,3,1,0,1,1,18,460,39,679,609,2,30,0,30,29,2,3,0,3,3,29,581,56,823,734,0
6776,Amet,Mars,0.0,23.45,-57.4,23.45,23.45,-57.4,-57.4,Asia,India,"Crater, craters",AA,mc10,Dropped,1988,36.0,Town in India.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6777,Ammonii Rupes,Mars,100.0,-6.52,175.8,-5.44,-7.51,176.4,175.2,Europe,Latin,"Rupes, rupēs",RU,mc23,Dropped,1985,57.0,"Named for albedo feature at 6S, 183W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Amphitrites Patera,Mars,129.8,-58.7,60.87,-57.64,-59.8,62.97,58.75,Europe,Greek,"Patera, paterae",PE,mc28,Approved,1973,57.0,Mare Amphitrites; classical albedo feature name.,0,0,0,0,0,6,74,0,77,56,16,559,2,653,566,9,176,3,215,131,12,530,9,692,624,10,71,3,78,68,6,20,4,25,24,59,1255,68,1740,1469,0
246,Amsterdam,Mars,1.66,23.0,-47.0,23.02,22.99,-46.99,-47.02,Europe,Netherlands (Dutch),"Crater, craters",AA,mc10,Approved,1979,36.0,Dutch port.,1,0,0,0,0,33,1278,11,1433,1328,62,1850,22,2223,2010,22,769,1,804,744,28,642,2,680,604,46,472,7,524,483,4,10,1,11,11,196,4417,142,5675,5180,0
15534,Andapa,Mars,11.0,-5.33,-4.73,-5.24,-5.42,-4.64,-4.82,Africa,Madagascar,"Crater, craters",AA,mc19,Approved,"Jan 18, 2017",74.0,Town in Madagascar.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Angu,Mars,2.08,20.01,105.64,20.03,20.0,105.66,105.62,Africa,Zaire,"Crater, craters",AA,mc14,Approved,1988,36.0,Town in Zaire.,0,0,0,0,0,1,9,0,9,9,5,177,0,178,158,1,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,207,0,208,188,0
275,Angusta Patera,Mars,15.4,-80.59,-79.5,-80.49,-80.69,-78.7,-80.3,Europe,Greek,"Patera, paterae",PE,mc30,Dropped,1991,57.0,Classical albedo name. Name dropped Sept. 2006 because feature was incorrectly named.,0,0,0,0,0,1,0,0,0,0,3,9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,10,10,0
14177,Angustus Labyrinthus,Mars,67.52,-81.62,-63.39,-81.16,-82.18,-61.41,-66.59,Europe,Greek,"Labyrinthus, labyrinthi",LB,mc30,Approved,"Sep 13, 2006",57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,3,0,3,3,0
277,Aniak,Mars,50.97,-31.84,-69.56,-31.47,-32.21,-69.06,-70.06,North America,United States,"Crater, craters",AA,mc25,Approved,1979,36.0,"Town in Alaska, USA.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Anio Valles,Mars,54.0,37.75,55.89,38.01,37.46,56.22,55.63,Europe,Italy,"Vallis, valles",VA,mc05,Approved,1988,56.0,Classical river in Italy; modern Aniene and Teverone rivers.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Annapolis,Mars,1.11,23.16,-47.73,23.17,23.16,-47.72,-47.74,North America,United States,"Crater, craters",AA,mc10,Approved,1979,36.0,American colonial town (Maryland).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,14,0,14,13,3,16,1,16,14,0
6781,Anseris Cavus,Mars,35.0,-29.71,95.5,-29.71,-29.71,95.5,95.5,Europe,Latin,"Cavus, cavi",CB,mc22,Dropped,1994,71.0,Named for albedo feature Anseris Fons. Same feature as Peraea Cavus.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,1,0,1,1,0
288,Anseris Mons,Mars,52.51,-29.81,86.65,-29.49,-30.16,87.18,86.14,Europe,Latin,"Mons, montes",MO,mc21,Approved,1991,57.0,From albedo feature Anseris Fons.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,1,0,1,1,0
297,Antoniadi,Mars,400.95,21.38,60.83,24.76,18.0,64.47,57.2,Europe,France,"Crater, craters",AA,mc13,Approved,1973,202.0,Eugène Michael; Turkish-born French astronomer (1870-1944).,4,25,0,25,23,20,250,8,291,269,40,835,30,1029,881,22,787,5,889,748,23,841,3,929,862,17,200,11,224,190,6,17,0,18,18,132,2468,158,3405,2991,0
15090,Aonia Mons,Mars,27.07,-53.33,-87.92,-53.16,-53.48,-87.55,-88.32,Europe,Latin,"Mons, montes",MO,mc25,Approved,"Mar 4, 2013",57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,1,16,0,16,11,0,0,0,0,0,6,313,1,341,318,3,50,1,51,51,2,4,0,4,4,12,376,3,412,384,0
