Feature_ID,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,number_of_papers_1970,number_of_citing_papers_1970,number_of_self_citations_1970,total_number_of_citations_1970,total_number_of_refereed_citations_1970,number_of_papers_1971_1980,number_of_citing_papers_1971_1980,number_of_self_citations_1971_1980,total_number_of_citations_1971_1980,total_number_of_refereed_citations_1971_1980,number_of_papers_1981_1990,number_of_citing papers_1981_1990,number_of_self_citations_1981_1990,total_number_of_citations_1981_1990,total_number_of_refereed_citations_1981_1990,number_of_papers_1991_2000,number_of_citing_papers_1991_2000,number_of_self_citations_1991_2000,total_number_of_citations_1991_2000,total_number_of_refereed_citations_1991_2000,number_of_papers_2001_2010,number_of_citing papers_2001_2010,number_of_self_citations_2001_2010,total_number_of_citations_2001_2010,total_number_of_refereed_citations_2001_2010,number_of_papers_2011_2015,number_of_citing papers_2011_2015,number_of_self_citations_2011_2015,total_number_of_citations_2011_2015,total_number_of_refereed_citations_2011_2015,number_of_papers_2016_2017,number_of_citing papers_2016_2017,number_of_self_citations_2016_2017,total_number_of_citations_2016_2017,total_number_of_refereed_citations_2016_2017,number_of_papers,number_of_citing papers,number_of_self-citations,total_number_of_citations,total_number_of_refereed citations,landing_site
4365,Nutak,Mars,11.26,17.41,-30.26,17.51,17.32,-30.16,-30.36,North America,Canada,"Crater, craters",AA,mc11,Approved,1976,36.0,"Town in Newfoundland, Canada.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15508,Nybyen,Mars,6.2,-37.02,-16.66,-36.97,-37.08,-16.59,-16.72,Europe,Norway,"Crater, craters",AA,mc26,Approved,"Sep 12, 2016",350.0,Town in Norway.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15123,Obock,Mars,14.45,-2.01,150.53,-1.89,-2.13,150.65,150.4,Africa,Republic of Djibouti,"Crater, craters",AA,mc23,Approved,"Jun 3, 2013",36.0,Town in the Republic of Djibouti.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,14,7,0,0,0,0,0,1,14,0,14,7,0
4392,Ocampo,Mars,7.16,32.66,138.3,32.73,32.61,138.38,138.24,North America,Mexico,"Crater, craters",AA,mc07,Approved,1991,36.0,Town in Mexico.,0,0,0,0,0,0,0,0,0,0,13,332,3,400,362,12,346,4,378,337,10,118,0,118,101,9,32,0,34,33,0,0,0,0,0,44,753,30,930,833,0
4393,Oceanidum Fossa,Mars,167.16,-61.58,-29.51,-60.41,-62.65,-27.65,-30.77,Europe,Greek,"Fossa, fossae",FO,mc26,Approved,1976,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,1,11,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,11,8,0
4394,Oceanidum Mons,Mars,33.39,-54.93,-41.23,-54.67,-55.18,-40.78,-41.65,Europe,Greek,"Mons, montes",MO,mc26,Approved,1985,57.0,Name change from Charitum Tholus.,0,0,0,0,0,1,14,0,14,14,0,0,0,0,0,1,1,0,1,1,1,34,0,34,27,0,0,0,0,0,0,0,0,0,0,3,48,0,49,42,0
4396,Ochakov,Mars,31.05,-42.11,-31.86,-41.85,-42.38,-31.51,-32.21,Europe,Ukraine,"Crater, craters",AA,mc26,Approved,1976,36.0,Town in Ukraine.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397,Ochus Valles,Mars,127.0,7.07,-45.04,7.86,6.17,-44.88,-45.46,Asia,Turkmenistan,"Vallis, valles",VA,mc10,Approved,1985,56.0,Classical name for present Hari-Rud River in Turkmenistan.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,22,21,0,0,0,0,0,0,0,0,0,0,1,22,0,22,21,0
4398,Octantis Cavi,Mars,71.21,-52.57,-45.97,-51.96,-53.15,-45.38,-46.42,Europe,Latin,"Cavus, cavi",CB,mc26,Approved,1991,57.0,Albedo name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0
4399,Octantis Mons,Mars,19.09,-55.26,-42.85,-55.2,-55.36,-42.55,-43.11,Europe,Latin,"Mons, montes",MO,mc26,Approved,1991,57.0,Albedo name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0
14858,Oenotria Plana,Mars,61.25,-8.14,76.64,-4.53,-11.45,82.64,68.38,Europe,Latin,"Planum, plana",PM,mc21,Approved,"Jun 13, 2011",57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,1,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,4,0
14860,Oenotria Scopuli,Mars,1425.0,-6.62,77.11,-1.79,-11.42,88.75,65.7,Europe,Latin,"Scopulus, scopuli",SC,mc21,Approved,1982,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4409,Oenotria Scopulus,Mars,1615.0,-7.77,77.36,-1.87,-11.45,88.6,65.77,Europe,Latin,"Scopulus, scopuli",SC,mc21,Dropped,1982,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,4,0
4413,Oglala,Mars,17.59,-3.11,-38.11,-2.96,-3.26,-37.96,-38.26,North America,United States,"Crater, craters",AA,mc19,Approved,1976,36.0,"Town in South Dakota, USA.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4415,Ogygis Regio,Mars,0.0,-44.66,-65.0,-44.66,-44.66,-65.0,-65.0,Europe,Greek,Albedo Feature,AL,mc25,Approved,1958,60.0,"""Region of Ogygos;"" Ogygos was ancient King of Thebes or Athens, Greece.",1,1,0,1,1,2,70,0,70,65,0,0,0,0,0,3,15,0,15,11,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,15,133,9,147,131,0
4416,Ogygis Rupes,Mars,184.23,-33.03,-54.53,-31.06,-34.67,-53.59,-55.29,Europe,Greek,"Rupes, rupēs",RU,mc26,Approved,1976,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,6,48,4,59,52,2,14,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,60,9,74,64,0
15370,Ogygis Undae,Mars,87.7,-49.66,-66.21,-49.37,-49.94,-65.07,-67.36,Europe,Greek,"Unda, undae",UN,mc25,Approved,"Sep 17, 2015",57.0,Classical albedo feature name: Ogygis Regio.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14201,Ohara,Mars,9.37,4.92,82.48,5.0,4.84,82.57,82.41,Asia,Japan,"Crater, craters",AA,mc13,Approved,"Sep 14, 2006",179.0,Town in Japan.,0,0,0,0,0,5,96,1,98,77,5,132,0,138,111,0,0,0,0,0,2,86,0,86,74,3,67,0,69,58,0,0,0,0,0,16,383,3,414,340,0
15071,Okavango Valles,Mars,285.12,38.1,8.97,39.44,36.07,10.23,7.1,Africa,Botswana,"Vallis, valles",VA,mc05,Approved,"Nov 26, 2012",36.0,River in Botswana.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,77,1,88,76,3,12,0,12,12,0,0,0,0,0,5,88,1,100,88,0
4426,Okhotsk,Mars,1.67,22.97,-47.33,22.98,22.95,-47.32,-47.35,Europe,Russia,"Crater, craters",AA,mc10,Approved,1979,36.0,Russian port.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
